epoch     train_loss  valid_loss  accuracy  time    
0         0.766395    0.464897    0.816881  00:03                      
1         0.584194    0.296469    0.894134  00:03                      
2         0.482917    0.314718    0.878398  00:03                      
3         0.420518    0.246289    0.921316  00:03                      
4         0.371251    0.194157    0.937053  00:03                      
5         0.348001    0.180234    0.949928  00:02                      
6         0.313010    0.178398    0.944206  00:02                      
7         0.288195    0.199855    0.942775  00:03                      
8         0.261137    0.192631    0.942775  00:03                      
9         0.249134    0.174960    0.942775  00:02                       
10        0.237780    0.159986    0.939914  00:03                       
11        0.226522    0.146543    0.949928  00:03                       
12        0.222722    0.141689    0.957082  00:02                       
13        0.206582    0.136689    0.948498  00:02                       
14        0.190466    0.147854    0.944206  00:02                       
15        0.188880    0.148505    0.945637  00:02                       
16        0.182740    0.130415    0.955651  00:02                       
17        0.177544    0.119348    0.965665  00:02                       
18        0.169234    0.125514    0.962804  00:03                       
19        0.161260    0.123448    0.968526  00:02                       
20        0.146773    0.117263    0.964235  00:02                       
21        0.143079    0.121071    0.958512  00:02                       
22        0.143938    0.112007    0.962804  00:02                       
23        0.138885    0.108718    0.961373  00:02                       
24        0.130017    0.114610    0.965665  00:02                       
25        0.133968    0.106012    0.967096  00:02                       
26        0.133049    0.109295    0.969957  00:02                       
27        0.123372    0.102023    0.971388  00:03                       
28        0.115830    0.098793    0.969957  00:02                       
29        0.117308    0.100916    0.967096  00:03                       
30        0.127403    0.116432    0.971388  00:03                       
31        0.127411    0.083576    0.972818  00:03                       
32        0.120720    0.083819    0.972818  00:03                       
33        0.118694    0.082519    0.972818  00:03                       
34        0.110984    0.084733    0.977110  00:03                       
35        0.100186    0.085743    0.977110  00:03                       
36        0.092398    0.086886    0.977110  00:03                       
37        0.084088    0.096674    0.975680  00:02                       
38        0.088569    0.079583    0.978541  00:02                       
39        0.080355    0.070479    0.979971  00:02                       
40        0.078446    0.065252    0.979971  00:02                       
41        0.077742    0.064212    0.981402  00:02                       
42        0.078637    0.066322    0.981402  00:02                       
43        0.084955    0.069147    0.974249  00:02                       
44        0.082421    0.061482    0.982833  00:02                       
45        0.081542    0.065016    0.979971  00:02                       
46        0.084484    0.058083    0.979971  00:02                       
47        0.074537    0.060830    0.981402  00:02                       
48        0.075692    0.068999    0.974249  00:02                       
49        0.070082    0.068488    0.981402  00:03                       
50        0.075639    0.077894    0.977110  00:04                       
51        0.075102    0.078047    0.974249  00:03                       
52        0.067852    0.066147    0.979971  00:03                       
53        0.068302    0.072996    0.979971  00:03                       
54        0.065586    0.077504    0.975680  00:02                       
55        0.063548    0.092226    0.971388  00:02                       
56        0.060425    0.069233    0.978541  00:02                       
57        0.065273    0.074381    0.978541  00:02                       
58        0.061496    0.072341    0.979971  00:03                       
59        0.060623    0.061481    0.982833  00:02                       
60        0.059484    0.062198    0.987124  00:02                       
61        0.052559    0.070032    0.972818  00:02                       
62        0.052613    0.064264    0.979971  00:03                       
63        0.052302    0.059471    0.984263  00:03                       
64        0.053468    0.052379    0.987124  00:02                       
65        0.052999    0.069470    0.979971  00:02                       
66        0.050585    0.063591    0.985694  00:03                       
67        0.055443    0.051705    0.984263  00:02                       
68        0.055097    0.044534    0.985694  00:02                       
69        0.059339    0.039300    0.987124  00:02                       
70        0.057933    0.036843    0.987124  00:02                       
71        0.061444    0.034042    0.987124  00:02                       
72        0.057315    0.037304    0.988555  00:02                       
73        0.052679    0.031275    0.991416  00:02                       
74        0.053054    0.032271    0.988555  00:02                       
75        0.049168    0.040670    0.987124  00:02                       
76        0.050248    0.032414    0.991416  00:02                       
77        0.048751    0.030125    0.992847  00:02                       
78        0.047034    0.034019    0.989986  00:02                       
79        0.049709    0.041366    0.987124  00:04                       
80        0.050628    0.035306    0.991416  00:03                       
81        0.051072    0.030144    0.992847  00:03                       
82        0.048382    0.023942    0.994278  00:03                       
83        0.042274    0.023136    0.991416  00:03                       
84        0.043936    0.033962    0.987124  00:02                       
85        0.042345    0.034658    0.989986  00:02                       
86        0.042164    0.036127    0.989986  00:03                       
87        0.042898    0.037575    0.987124  00:02                       
88        0.039432    0.035390    0.989986  00:02                       
89        0.035356    0.029687    0.991416  00:02                       
90        0.034944    0.031124    0.989986  00:02                       
91        0.038515    0.024881    0.989986  00:02                       
92        0.033424    0.018686    0.992847  00:02                       
93        0.034286    0.026054    0.994278  00:02                       
94        0.030714    0.019312    0.988555  00:02                       
95        0.031749    0.017107    0.994278  00:02                       
96        0.039417    0.014418    0.997139  00:02                       
97        0.040268    0.014740    0.995708  00:03                       
98        0.036755    0.016853    0.992847  00:02                       
99        0.038256    0.022355    0.994278  00:02
